case,seed,feature,weight,abs_weight,rank
false_positive,0,d2m_c_roll6_mean,-0.039356843,0.039356843,17.0
false_positive,0,tcc_roll6_mean,-0.08167649,0.08167649,9.0
false_positive,0,wind_speed_10m_roll6_mean,-0.004685831,0.004685831,28.0
false_positive,0,wind_speed_10m_roll6_max,-0.024794396,0.024794396,22.0
false_positive,0,tp_mm_roll6_sum,-0.50896186,0.50896186,2.0
false_positive,0,tp_mm_roll24_sum,-0.022028126,0.022028126,23.0
false_positive,1,t2m_c,-0.033854887,0.033854887,19.0
false_positive,1,d2m_c,-0.19859174,0.19859174,5.0
false_positive,1,msl_hpa,-0.27529708,0.27529708,3.0
false_positive,1,sp_hpa,-0.13807903,0.13807903,6.0
false_positive,1,tcc,0.030712523,0.030712523,21.0
false_positive,1,u10,-0.032858804,0.032858804,20.0
false_positive,1,v10,-0.01919399,0.01919399,25.0
false_positive,1,wind_speed_10m,-0.0030392653,0.0030392653,31.0
false_positive,1,month,0.0027118474,0.0027118474,32.0
false_positive,1,dayofyear,0.041054424,0.041054424,16.0
false_positive,1,hour,-0.079099275,0.079099275,8.0
false_positive,1,month_sin,0.0016149253,0.0016149253,33.0
false_positive,1,month_cos,-0.048254795,0.048254795,15.0
false_positive,1,hour_sin,-0.07174881,0.07174881,11.0
false_positive,1,hour_cos,0.029658787,0.029658787,22.0
false_positive,1,msl_hpa_lag1,-0.21310058,0.21310058,4.0
false_positive,1,msl_hpa_lag3,-0.052926704,0.052926704,13.0
false_positive,1,msl_hpa_lag6,-0.037300754,0.037300754,17.0
false_positive,1,d2m_c_lag1,-0.07923583,0.07923583,7.0
false_positive,1,d2m_c_lag3,-0.0060817082,0.0060817082,28.0
false_positive,1,tcc_lag1,-0.009740471,0.009740471,27.0
false_positive,1,tcc_lag3,-0.016244842,0.016244842,26.0
false_positive,1,wind_speed_10m_lag1,-0.00040171252,0.00040171252,34.0
false_positive,1,wind_speed_10m_lag3,-0.0033330845,0.0033330845,30.0
false_positive,1,tp_mm_lag1,-3.2290864,3.2290864,1.0
false_positive,1,tp_mm_lag3,0.07409194,0.07409194,10.0
false_positive,1,tp_mm_lag6,0.03446982,0.03446982,18.0
false_positive,1,msl_hpa_roll6_mean,-0.07742534,0.07742534,9.0
false_positive,1,d2m_c_roll6_mean,-0.05182355,0.05182355,14.0
false_positive,1,tcc_roll6_mean,-0.06795002,0.06795002,12.0
false_positive,1,wind_speed_10m_roll6_mean,-0.0047004875,0.0047004875,29.0
false_positive,1,wind_speed_10m_roll6_max,-0.023387391,0.023387391,24.0
false_positive,1,tp_mm_roll6_sum,-0.686696,0.686696,2.0
false_positive,1,tp_mm_roll24_sum,-0.025957644,0.025957644,23.0
false_positive,2,t2m_c,-0.057947017,0.057947017,14.0
false_positive,2,d2m_c,-0.2183208,0.2183208,5.0
false_positive,2,msl_hpa,-0.29145914,0.29145914,3.0
false_positive,2,sp_hpa,-0.14714912,0.14714912,6.0
false_positive,2,tcc,0.044476423,0.044476423,18.0
false_positive,2,u10,-0.032693,0.032693,21.0
false_positive,2,v10,-0.021304457,0.021304457,25.0
false_positive,2,wind_speed_10m,-0.00305748,0.00305748,31.0
false_positive,2,month,0.0027118474,0.0027118474,32.0
false_positive,2,dayofyear,0.041972533,0.041972533,19.0
false_positive,2,hour,-0.08041268,0.08041268,8.0
false_positive,2,month_sin,0.0016149253,0.0016149253,33.0
false_positive,2,month_cos,-0.04923516,0.04923516,17.0
false_positive,2,hour_sin,-0.07511618,0.07511618,10.0
false_positive,2,hour_cos,0.030006522,0.030006522,22.0
false_positive,2,msl_hpa_lag1,-0.22502998,0.22502998,4.0
false_positive,2,msl_hpa_lag3,-0.05259853,0.05259853,15.0
